Height,Weight,Overall,pozicija
6'1,181,75,B
5'9,157,75,V
6'2,190,75,N
6'0,174,75,B
5'9,150,75,V
6'2,163,75,V
6'0,148,75,V
6'0,161,75,B
5'10,165,75,V
6'0,163,75,V
6'0,163,75,V
6'0,174,75,B
6'2,174,75,B
5'11,174,75,V
6'4,185,75,B
5'9,172,75,V
6'0,154,75,V
5'10,168,75,N
6'1,165,75,B
6'3,201,75,N
5'10,174,75,V
6'0,168,75,V
5'8,146,75,N
6'1,176,75,B
6'2,198,75,B
5'10,165,75,B
6'1,157,75,V
5'10,161,75,V
6'2,190,75,B
6'2,172,75,V
5'9,165,75,V
6'0,181,75,B
5'9,170,75,N
6'4,212,75,V
6'0,181,75,N
5'9,157,75,N
5'11,170,75,V
5'10,159,75,V
6'4,192,75,B
6'4,201,75,N
5'9,154,75,V
6'2,198,75,N
5'9,146,75,V
5'11,181,75,V
5'10,143,75,V
6'1,190,75,B
5'10,161,75,V
6'0,183,75,V
6'2,172,75,B
5'9,150,75,V
5'9,154,75,B
6'3,170,75,B
6'2,185,75,V
5'11,176,75,V
5'11,154,75,V
5'10,152,75,B
5'7,143,75,N
5'9,161,75,V
6'0,194,75,N
5'10,181,75,N
5'9,174,75,V
6'1,179,75,B
5'9,161,75,N
5'9,148,75,B
5'11,152,75,V
6'0,181,75,B
5'10,159,75,V
6'3,176,75,B
6'2,170,75,B
6'1,187,75,N
6'2,181,75,N
6'2,168,75,V
6'2,185,75,B
6'2,183,75,B
5'7,143,75,V
6'1,170,75,V
5'11,159,75,B
5'10,150,75,N
5'10,172,75,V
6'1,176,75,B
5'11,165,75,V
6'1,183,75,N
6'4,190,75,V
5'10,172,75,V
5'8,128,75,V
5'9,157,75,V
5'5,146,75,V
5'10,168,75,V
5'9,170,75,B
5'11,150,75,N
5'10,174,74,B
6'0,172,74,V
5'11,154,74,N
6'0,168,74,B
5'9,154,74,B
6'5,194,74,B
5'11,168,74,N
6'2,181,74,N
6'2,194,74,B
6'3,183,74,V
6'0,174,74,N
5'10,157,74,B
5'11,174,74,V
5'11,174,74,B
5'10,174,74,V
5'5,148,74,V
5'7,139,74,N
6'5,198,74,B
6'2,161,74,B
5'10,168,74,V
5'10,174,74,N
5'11,174,74,B
6'0,174,74,N
6'1,174,74,B
5'8,157,74,N
6'2,179,74,N
6'6,181,74,B
6'1,170,74,B
5'10,185,74,V
6'2,194,74,N
6'2,181,74,V
5'10,157,74,V
6'1,181,74,V
5'11,165,74,B
5'10,168,74,B
5'10,172,74,N
6'4,179,74,V
6'0,176,74,B
6'1,174,74,V
5'7,146,74,V
6'1,192,74,B
6'2,185,74,B
5'7,152,74,B
5'7,148,74,V
5'11,165,74,V
5'5,143,74,V
6'0,159,74,B
5'9,168,74,V
6'1,181,74,B
6'2,176,74,B
5'9,150,74,V
6'4,185,74,B
5'9,152,74,B
6'2,181,74,B
5'11,157,74,V
6'0,176,74,V
5'7,137,74,N
6'2,157,74,N
6'0,170,74,B
6'4,176,74,N
5'10,161,74,B
5'9,170,74,N
5'10,172,74,V
6'0,174,74,N
5'8,152,74,V
6'0,163,74,V
6'0,154,74,B
6'3,203,74,B
5'11,174,74,B
5'10,143,74,N
6'1,170,74,V
5'10,161,74,V
5'10,161,74,B
5'7,143,74,V
5'10,157,74,V
6'0,170,74,B
6'1,190,74,B
6'1,181,74,V
6'0,168,74,V
6'2,183,74,B
5'7,150,74,B
5'9,157,74,V
5'11,137,74,V
5'10,165,74,B
5'8,150,74,V
6'0,183,74,B
5'11,176,74,V
6'0,165,74,B
5'6,161,74,V
6'4,174,74,B
6'1,176,74,B
5'11,163,74,V
6'0,181,74,B
5'9,165,74,V
6'3,194,74,B
5'9,141,74,V
5'7,148,74,V
6'0,170,74,N
6'2,176,74,B
6'3,181,74,B
5'7,168,74,B
5'11,168,74,V
5'4,128,74,V
5'11,165,74,V
6'4,185,74,B
6'2,176,74,B
6'0,163,74,B
6'1,179,74,B
6'0,157,74,V
5'7,152,74,N
5'7,141,74,N
5'7,141,74,B
6'4,194,74,N
5'5,157,74,V
5'10,172,74,N
6'1,181,74,B
6'0,154,74,V
5'11,181,74,B
6'0,161,74,V
6'0,185,74,N
6'0,143,74,V
6'3,170,74,B
6'1,172,74,N
6'1,172,74,B
5'10,137,74,V
5'7,137,74,N
6'0,132,74,B
5'9,154,74,V
6'0,170,74,B
5'11,163,74,V
6'1,179,74,B
6'1,207,74,N
5'9,165,74,V
6'0,172,74,B
6'0,174,74,V
5'11,165,74,V
5'10,168,74,V
6'0,176,74,N
6'0,165,74,V
6'4,192,74,B
6'0,172,74,N
6'0,168,74,V
6'1,185,74,B
5'11,172,74,V
6'0,163,74,B
5'10,159,74,V
6'2,181,74,V
5'11,203,74,N
5'11,168,74,N
6'0,165,74,V
6'0,179,74,V
5'7,148,74,B
6'2,163,74,B
5'8,146,74,B
5'11,179,74,V
6'0,196,74,N
5'10,163,74,B
5'9,154,74,N
5'9,157,74,V
6'0,165,74,B
5'9,143,74,N
6'0,165,74,N
5'8,150,74,V
5'10,170,74,N
6'0,179,74,B
6'5,174,74,V
5'9,159,74,V
6'1,176,74,V
6'4,205,74,B
6'1,168,74,B
6'2,187,74,N
5'9,163,74,B
5'8,154,74,V
5'10,170,74,N
5'6,141,74,B
6'2,198,74,V
5'11,148,74,B
5'9,159,74,N
5'9,152,74,N
6'2,187,74,B
6'2,190,74,N
6'0,181,74,B
6'2,176,74,N
5'9,168,74,V
5'10,152,74,V
6'0,174,74,B
5'7,143,74,V
5'11,152,74,B
6'2,185,74,V
5'9,148,74,V
6'2,165,74,V
6'0,163,74,V
5'7,159,74,N
6'2,161,74,V
5'6,130,74,V
5'10,154,74,V
5'11,170,74,N
5'9,176,74,B
6'2,187,74,N
6'0,170,74,V
5'9,165,74,V
6'3,192,74,B
5'10,183,74,B
5'11,163,74,V
6'0,170,74,V
5'10,183,74,B
5'6,139,74,V
6'0,185,74,B
5'7,137,74,B
6'3,190,74,B
5'11,150,74,B
5'7,154,74,B
6'0,170,74,N
6'2,176,74,B
6'1,154,74,V
5'11,170,74,V
5'5,143,74,V
5'6,143,74,V
5'6,157,74,N
6'3,198,74,N
5'10,161,74,V
5'9,157,74,B
6'0,181,74,B
5'11,172,74,B
6'0,176,74,V
5'10,174,74,V
6'0,174,74,V
6'0,163,74,V
5'11,163,74,N
6'0,170,74,N
5'9,154,74,V
6'1,168,74,N
5'9,150,74,B
6'0,190,74,B
5'11,168,74,B
5'8,159,74,V
6'1,190,74,B
6'1,185,74,V
6'0,172,74,B
5'11,172,74,B
6'4,185,74,B
5'11,163,74,B
5'9,157,74,V
5'10,157,74,V
5'11,176,74,N
6'0,176,74,N
5'10,165,74,V
5'10,163,74,V
5'11,168,74,V
6'1,176,74,N
5'10,152,74,V
5'9,143,74,V
5'7,163,74,N
5'11,146,74,V
6'2,176,74,B
6'0,172,74,N
6'0,174,74,B
6'0,168,74,V
6'2,201,74,B
6'2,181,74,N
6'0,159,74,V
5'10,168,74,N
6'0,148,74,N
6'1,179,74,N
6'0,172,74,V
5'11,168,74,V
6'0,172,74,V
6'2,174,74,B
6'0,161,74,B
5'9,141,74,N
6'3,185,74,V
5'9,150,74,V
6'0,190,74,B
5'11,174,74,N
6'5,214,74,B
5'8,159,74,B
6'1,198,74,N
6'2,170,74,N
5'7,143,74,N
5'7,139,74,B
5'10,176,74,N
6'2,165,74,V
6'0,174,74,V
6'0,165,74,V
6'2,183,74,B
5'10,154,74,V
6'2,174,74,B
6'2,165,74,N
6'2,181,74,B
6'0,165,74,V
5'10,174,74,V
5'7,163,74,B
6'1,172,74,B
5'9,163,74,N
6'1,174,74,N
6'3,176,74,B
5'10,165,74,N
6'3,176,74,N
6'3,183,74,V
5'9,157,74,V
5'10,161,74,V
6'3,198,74,B
5'9,165,74,V
5'7,143,74,V
5'8,154,74,N
6'2,198,74,N
5'9,152,74,V
6'0,181,74,B
5'10,161,74,V
6'4,194,74,B
5'9,150,74,V
5'11,159,74,B
5'2,134,74,N
6'1,165,74,B
5'10,150,74,N
6'2,185,74,B
6'0,174,74,B
6'2,176,74,V
6'0,172,74,B
5'11,168,74,N
5'10,150,74,B
6'0,161,74,B
6'0,170,74,B
6'1,174,74,N
6'2,181,74,B
5'8,134,74,V
5'11,163,74,B
6'0,172,74,V
6'0,170,74,V
5'9,146,74,B
5'10,161,74,B
5'11,174,74,V
6'0,176,74,V
5'6,146,74,N
5'8,154,74,V
5'7,157,74,B
6'0,168,74,V
6'1,172,74,B
6'1,172,74,B
6'1,154,74,B
6'0,161,74,B
6'0,201,74,B
5'9,154,74,V
5'11,172,74,N
5'6,141,74,V
6'4,194,74,B
6'3,198,74,B
5'7,141,74,V
6'1,183,74,N
5'10,172,74,B
6'5,207,74,B
6'0,179,74,N
5'9,165,74,N
6'3,190,74,N
5'9,179,74,V
6'0,157,74,V
5'10,165,74,V
5'7,148,74,N
5'9,157,74,B
6'5,194,74,B
6'1,176,74,V
5'9,154,74,B
6'0,159,74,V
6'0,174,74,B
5'11,165,74,V
5'11,170,74,V
6'2,181,74,V
5'7,157,74,V
6'4,196,74,B
6'2,198,74,V
6'0,170,74,B
5'7,159,74,B
6'0,181,74,B
5'11,154,74,B
6'1,187,74,B
6'0,168,74,B
6'0,170,74,B
5'10,150,74,B
5'10,161,74,B
5'7,150,74,V
6'0,172,74,N
6'0,159,74,B
5'10,161,74,N
5'11,143,74,V
5'7,152,74,V
5'7,137,74,V
5'11,172,74,V
5'9,154,74,B
5'10,176,74,B
5'11,174,74,B
5'7,159,74,N
5'11,176,74,N
5'9,143,74,V
5'10,159,74,B
5'9,150,74,V
6'0,174,73,B
5'11,174,73,N
5'7,134,73,V
5'11,170,73,V
6'0,159,73,B
6'5,207,73,B
5'11,172,73,V
5'9,154,73,V
6'3,203,73,N
6'2,181,73,B
6'1,174,73,B
5'10,154,73,V
6'1,185,73,B
5'9,161,73,N
6'2,168,73,B
5'6,146,73,B
6'1,190,73,B
6'0,185,73,B
5'6,148,73,N
6'4,185,73,B
6'0,183,73,N
6'2,176,73,B
5'9,154,73,V
5'10,170,73,V
5'10,159,73,N
5'10,165,73,V
5'11,161,73,V
5'9,143,73,B
5'9,159,73,B
6'2,176,73,V
5'9,146,73,V
6'2,198,73,B
6'1,168,73,V
6'3,203,73,B
5'8,141,73,V
5'9,139,73,V
5'11,168,73,V
5'8,143,73,V
5'9,134,73,N
6'2,192,73,N
5'9,150,73,B
5'11,154,73,V
5'9,154,73,N
5'10,172,73,N
6'6,174,73,B
6'0,174,73,B
5'10,154,73,V
6'1,163,73,B
5'6,157,73,V
5'7,157,73,V
5'9,154,73,B
5'11,163,73,B
6'1,179,73,N
6'0,165,73,B
5'10,159,73,V
5'11,179,73,B
6'0,137,73,V
5'11,170,73,B
6'1,157,73,B
6'0,163,73,B
5'11,157,73,B
5'7,148,73,V
6'0,159,73,V
5'10,172,73,N
6'0,163,73,V
6'3,181,73,N
6'1,172,73,B
6'1,159,73,B
5'10,165,73,V
6'0,165,73,B
5'8,146,73,N
5'9,161,73,B
6'0,161,73,V
6'4,207,73,B
6'0,179,73,V
6'3,185,73,V
5'10,154,73,V
5'7,152,73,B
5'10,163,73,V
6'1,176,73,V
5'11,181,73,V
6'2,176,73,N
6'0,172,73,B
6'0,170,73,B
5'9,146,73,N
5'11,174,73,V
5'10,157,73,V
5'7,159,73,B
5'11,163,73,B
5'11,181,73,B
5'10,159,73,B
5'10,161,73,B
5'6,143,73,V
5'9,154,73,V
5'10,165,73,B
6'5,179,73,N
6'0,170,73,B
5'11,176,73,N
5'9,159,73,V
5'10,159,73,N
5'11,176,73,V
5'11,154,73,V
6'0,174,73,B
5'6,139,73,V
5'8,139,73,V
6'3,181,73,B
5'10,154,73,V
6'3,165,73,N
6'1,161,73,B
6'3,201,73,B
5'11,154,73,N
5'9,154,73,B
5'7,148,73,V
6'2,170,73,B
6'2,176,73,B
5'9,157,73,V
6'2,187,73,N
5'10,146,73,N
5'6,143,73,V
5'9,165,73,B
5'8,143,73,N
5'6,134,73,B
5'10,174,73,V
5'10,150,73,N
6'1,192,73,N
5'11,183,73,B
6'3,192,73,B
6'0,179,73,B
6'1,176,73,N
5'9,159,73,V
5'6,159,73,V
5'10,176,73,V
6'1,174,73,B
5'10,154,73,B
5'8,163,73,B
6'1,165,73,B
5'9,163,73,B
6'4,187,73,B
6'4,181,73,B
5'10,159,73,V
5'9,159,73,V
6'0,161,73,N
6'0,174,73,V
5'11,174,73,V
6'0,170,73,V
5'9,170,73,B
5'9,176,73,V
5'7,159,73,B
5'11,174,73,V
6'2,165,73,B
6'3,154,73,B
5'11,163,73,V
6'2,185,73,V
6'2,163,73,V
5'9,165,73,B
5'9,165,73,V
6'2,165,73,V
6'0,174,73,B
6'1,183,73,V
6'0,179,73,N
5'7,141,73,V
6'5,203,73,B
5'7,141,73,V
5'10,146,73,V
5'11,165,73,V
6'2,176,73,B
6'1,179,73,B
6'0,172,73,B
6'1,170,73,B
5'8,146,73,V
5'11,174,73,V
5'9,163,73,V
5'10,159,73,V
5'9,165,73,B
5'8,159,73,N
6'0,183,73,N
6'0,170,73,V
5'11,176,73,N
5'8,146,73,V
5'10,154,73,V
6'1,187,73,B
5'9,152,73,B
6'3,183,73,B
5'9,168,73,N
6'0,181,73,B
5'9,165,73,B
5'7,165,73,V
5'10,176,73,V
6'2,176,73,N
5'9,165,73,V
6'3,176,73,B
5'9,154,73,B
5'9,161,73,N
6'2,205,73,B
5'11,181,73,V
5'7,143,73,V
6'0,176,73,V
5'9,163,73,V
5'11,150,73,N
5'9,161,73,V
6'2,176,73,B
5'10,161,73,V
6'2,183,73,V
6'3,187,73,N
6'3,176,73,B
5'8,161,73,V
5'9,157,73,N
6'1,161,73,N
6'1,190,73,B
6'2,207,73,B
6'1,181,73,N
6'0,161,73,B
6'0,179,73,V
5'11,170,73,V
5'4,143,73,V
6'0,165,73,B
6'1,170,73,N
6'0,159,73,N
5'11,170,73,B
5'11,157,73,B
5'9,161,73,V
5'10,157,73,V
5'7,130,73,V
5'10,161,73,V
6'4,194,73,B
6'0,181,73,V
6'0,163,73,V
5'11,170,73,V
6'2,181,73,N
6'0,163,73,B
6'1,176,73,B
6'0,190,73,N
6'1,179,73,N
5'10,161,73,B
6'0,172,73,B
6'1,174,73,N
6'3,190,73,V
5'7,165,73,V
5'10,165,73,V
5'11,168,73,V
5'10,154,73,V
6'2,190,73,V
5'8,154,73,V
5'9,150,73,N
6'3,176,73,B
6'3,183,73,B
6'3,179,73,B
6'2,183,73,N
6'1,176,73,V
5'11,161,73,V
6'2,203,73,B
5'10,157,73,B
5'7,139,73,N
5'9,161,73,V
6'2,176,73,N
6'0,165,73,B
6'1,181,73,V
6'2,154,73,B
5'8,157,73,V
5'11,172,73,N
5'10,157,73,V
6'0,154,73,N
6'3,205,73,B
6'0,168,73,V
5'10,159,73,V
5'9,157,73,V
5'10,161,73,V
5'9,148,73,V
5'10,168,73,N
6'0,172,73,B
5'10,165,73,V
5'11,163,73,B
6'1,174,73,V
6'0,161,73,V
6'0,168,73,V
6'2,187,73,B
5'11,159,73,B
5'10,168,73,B
6'0,179,73,N
6'2,174,73,N
6'3,185,73,B
6'0,170,73,V
5'11,168,73,V
6'2,196,73,N
6'0,170,73,V
6'2,181,73,B
6'1,176,73,B
6'0,165,73,B
5'11,163,73,B
5'7,148,73,N
5'11,161,73,B
6'0,174,73,N
6'0,176,73,B
5'11,157,73,V
6'1,179,73,B
6'3,181,73,V
5'10,157,73,V
5'9,165,73,N
6'3,181,73,B
5'8,141,73,V
6'3,187,73,B
5'11,146,73,V
5'7,165,73,B
5'9,159,73,N
5'9,150,73,V
6'1,190,73,B
6'2,163,73,V
5'8,165,73,V
5'10,159,73,B
6'1,181,73,B
5'10,165,73,V
6'0,165,73,V
6'0,165,73,B
6'1,176,73,V
6'0,159,73,N
5'11,172,73,B
5'9,154,73,V
5'11,150,73,V
5'10,172,73,V
6'4,194,73,B
5'8,157,73,V
6'0,185,73,V
6'0,176,73,B
6'1,161,73,V
6'4,181,73,B
5'10,165,73,B
6'4,181,73,N
5'7,143,73,V
6'1,187,73,B
6'2,170,73,B
6'1,183,73,B
6'0,181,73,V
6'2,185,73,B
5'11,174,73,N
6'3,185,73,B
5'9,159,73,N
5'11,170,73,V
5'11,165,73,V
5'10,183,73,V
5'8,154,73,V
6'0,161,73,V
5'10,150,73,V
6'2,179,73,B
6'1,165,73,B
5'10,163,73,V
6'1,183,73,N
5'8,143,73,V
6'1,176,73,B
5'10,146,73,B
5'11,181,73,N
5'10,159,73,B
5'9,163,73,V
6'2,174,73,B
5'8,150,73,V
6'1,168,73,N
5'7,143,73,N
6'1,183,73,N
6'2,212,73,B
5'8,146,73,N
5'9,150,73,V
5'10,165,73,V
6'2,179,73,B
5'9,146,73,V
6'2,179,73,V
6'0,165,73,N
5'10,165,73,V
6'0,179,73,V
6'1,181,73,V
6'0,174,73,B
6'2,181,73,B
5'7,150,73,B
6'0,168,73,B
5'10,154,73,V
6'0,181,73,B
6'0,148,73,B
5'7,152,73,V
6'0,170,73,V
6'1,183,73,N
5'7,154,73,V
6'0,161,73,V
5'9,168,73,V
5'5,146,73,V
5'10,168,73,B
6'1,163,73,N
6'2,172,73,B
6'0,163,73,B
5'9,143,73,V
6'3,172,73,B
6'0,172,73,B
5'7,146,73,V
6'2,176,73,V
5'10,172,73,B
5'9,146,73,V
5'9,150,73,V
5'9,148,73,V
6'2,192,73,B
6'0,183,73,V
6'0,165,73,N
5'11,161,73,B
5'6,146,73,V
6'3,198,73,B
5'7,143,73,V
6'0,170,73,N
5'10,161,73,V
5'9,168,73,V
5'10,154,73,B
6'0,159,73,V
5'11,139,73,V
6'3,194,73,N
6'2,172,73,V
5'8,165,73,B
5'9,157,73,B
5'7,157,73,V
5'10,157,73,V
5'7,150,73,N
5'9,150,73,V
6'2,165,73,B
5'10,146,73,V
5'10,165,73,V
6'2,163,73,V
6'1,168,73,V
6'1,172,73,B
6'0,161,73,N
5'7,128,73,V
6'2,194,73,B
5'9,172,73,V
5'10,159,73,V
5'7,152,73,N
5'7,134,73,V
5'9,154,73,V
5'9,152,73,V
5'9,165,73,B
6'2,172,73,N
5'10,172,73,V
6'2,170,73,N
6'1,190,73,B
6'0,163,73,N
6'3,194,73,B
5'7,159,73,V
6'3,183,73,B
5'10,163,73,N
5'10,157,73,B
5'8,150,73,V
6'1,190,73,N
5'8,150,73,V
6'1,185,73,N
6'0,170,73,N
6'3,165,72,B
5'9,150,72,V
6'3,185,72,V
6'2,176,72,B
6'3,187,72,B
5'3,139,72,N
5'10,157,72,V
6'2,174,72,V
5'10,163,72,V
6'4,183,72,B
6'0,192,72,N
5'10,168,72,B
5'10,161,72,V
5'8,152,72,V
6'2,174,72,N
5'10,154,72,N
6'0,179,72,B
5'9,148,72,B
6'4,168,72,V
5'7,143,72,V
6'1,179,72,B
6'2,174,72,B
6'2,170,72,V
6'1,170,72,N
5'7,154,72,V
6'0,168,72,B
5'9,148,72,N
6'2,154,72,V
5'8,139,72,V
5'9,165,72,V
5'11,154,72,N
6'1,174,72,N
5'9,154,72,V
5'10,148,72,N
6'0,181,72,B
5'9,150,72,V
5'10,163,72,V
5'5,152,72,V
5'11,159,72,N
5'8,157,72,V
5'10,165,72,V
6'2,183,72,V
5'10,161,72,V
6'1,176,72,N
5'10,154,72,V
6'0,170,72,B
6'0,159,72,B
5'10,165,72,V
6'2,165,72,B
5'11,172,72,V
6'0,168,72,B
5'9,165,72,V
6'0,190,72,N
5'10,172,72,N
6'0,174,72,B
5'8,143,72,V
6'0,172,72,V
6'2,183,72,B
5'10,165,72,V
5'8,154,72,V
6'4,187,72,B
6'0,165,72,V
5'9,150,72,N
6'0,161,72,N
6'4,185,72,N
5'10,163,72,V
5'10,161,72,B
5'9,143,72,B
5'11,190,72,V
5'10,143,72,B
6'0,146,72,N
5'7,163,72,V
6'3,196,72,B
5'9,139,72,N
6'2,185,72,B
5'9,168,72,V
6'0,172,72,B
6'0,161,72,N
5'7,141,72,V
5'11,161,72,V
5'9,168,72,V
5'11,157,72,V
6'2,196,72,N
6'2,190,72,B
5'9,152,72,N
5'9,157,72,N
6'3,185,72,N
6'1,161,72,B
6'0,176,72,N
6'6,198,72,B
5'10,165,72,V
6'0,172,72,B
6'1,174,72,V
5'9,150,72,V
5'9,143,72,V
5'10,154,72,B
5'8,157,72,N
5'8,154,72,N
5'7,154,72,N
5'7,143,72,V
5'9,150,72,V
6'2,170,72,B
5'11,174,72,N
5'9,165,72,V
5'11,161,72,N
5'9,165,72,V
5'11,174,72,V
6'6,176,72,V
5'10,172,72,N
6'2,168,72,B
5'11,172,72,N
5'11,165,72,B
5'9,152,72,V
6'0,165,72,B
5'10,157,72,B
5'10,165,72,V
5'10,174,72,N
6'3,192,72,B
5'10,157,72,V
6'2,176,72,B
5'11,179,72,V
5'11,148,72,V
6'4,190,72,B
5'11,154,72,V
6'2,163,72,V
6'2,194,72,N
5'6,141,72,N
6'2,194,72,N
5'11,196,72,B
5'6,132,72,V
6'3,185,72,B
5'10,157,72,B
5'10,152,72,B
5'11,165,72,V
5'10,165,72,V
6'2,179,72,N
5'7,148,72,V
6'7,165,72,N
5'10,165,72,N
5'10,159,72,V
5'6,143,72,V
5'9,154,72,V
5'9,159,72,N
6'0,170,72,V
5'8,154,72,V
5'10,143,72,B
6'1,165,72,B
6'2,183,72,B
5'8,139,72,B
5'8,159,72,V
5'11,152,72,V
6'1,159,72,B
5'9,161,72,B
5'11,174,72,V
5'6,161,72,N
5'7,159,72,N
6'0,168,72,N
5'9,181,72,V
5'9,161,72,V
5'10,174,72,V
5'11,170,72,N
5'9,168,72,N
6'4,185,72,B
6'0,170,72,B
6'0,161,72,V
5'9,152,72,B
6'3,181,72,B
5'10,172,72,V
6'0,181,72,B
5'11,152,72,B
6'1,154,72,B
5'11,152,72,B
6'2,172,72,V
6'2,196,72,N
6'2,185,72,B
6'2,181,72,B
5'9,163,72,N
6'1,154,72,N
5'10,170,72,N
6'0,154,72,V
6'4,176,72,N
5'6,148,72,N
5'7,137,72,V
6'0,157,72,B
5'9,163,72,V
5'11,150,72,V
5'9,161,72,V
5'9,159,72,V
6'1,161,72,V
6'3,183,72,B
6'0,172,72,B
5'7,150,72,V
6'0,163,72,V
5'9,154,72,V
5'10,181,72,B
5'11,146,72,B
6'2,170,72,N
6'0,157,72,V
6'0,159,72,V
6'1,163,72,V
6'2,192,72,B
5'4,141,72,V
5'7,148,72,V
6'1,159,72,N
5'6,185,72,V
6'0,179,72,B
6'2,176,72,B
5'9,168,72,V
6'0,187,72,V
5'11,176,72,V
5'11,157,72,V
6'2,187,72,B
6'0,172,72,V
5'10,165,72,V
5'11,179,72,B
6'2,179,72,N
6'2,194,72,B
6'2,174,72,B
5'10,159,72,B
5'11,159,72,B
5'9,161,72,V
6'2,174,72,B
5'6,161,72,V
6'1,165,72,N
5'8,152,72,V
5'10,172,72,B
5'10,157,72,V
5'9,139,72,N
5'6,148,72,V
5'11,185,72,N
5'8,141,72,V
5'10,168,72,V
6'3,185,72,B
5'8,165,72,N
5'11,172,72,B
6'0,181,72,V
5'9,165,72,B
6'1,165,72,N
6'0,176,72,N
5'10,176,72,V
5'11,161,72,V
6'0,181,72,B
6'2,187,72,N
6'0,183,72,B
5'11,161,72,N
6'1,176,72,B
6'1,172,72,V
5'10,168,72,N
5'11,141,72,B
6'3,196,72,B
6'1,185,72,B
5'11,181,72,B
5'10,157,72,V
5'9,154,72,N
6'0,137,72,B
6'1,185,72,B
5'10,183,72,V
5'6,143,72,V
6'1,165,72,B
5'9,187,72,N
5'7,143,72,V
5'9,157,72,V
6'4,212,72,N
5'7,154,72,B
6'1,170,72,V
5'9,146,72,B
5'10,159,72,V
6'0,176,72,V
6'4,194,72,B
5'8,154,72,V
5'11,157,72,V
6'0,185,72,B
6'0,176,72,N
6'1,174,72,B
5'10,161,72,B
5'5,150,72,V
5'11,163,72,V
6'0,161,72,B
6'1,172,72,N
6'0,176,72,N
6'2,194,72,B
6'0,179,72,V
5'11,159,72,V
5'10,150,72,B
6'4,196,72,B
6'0,150,72,V
6'2,187,72,N
6'2,174,72,N
6'0,170,72,V
6'0,174,72,V
5'11,181,72,N
5'11,159,72,V
5'5,148,72,V
5'10,157,72,V
5'10,170,72,V
5'10,174,72,V
5'11,161,72,V
6'1,172,72,V
6'1,190,72,V
6'1,183,72,V
6'2,194,72,V
5'10,165,72,V
5'11,170,72,B
6'0,176,72,B
5'11,159,72,B
6'0,143,72,V
6'1,172,72,B
6'2,176,72,N
6'2,165,72,B
6'3,187,72,B
5'10,165,72,V
5'10,159,72,V
5'9,165,72,V
6'1,174,72,N
6'0,176,72,B
5'11,172,72,B
6'0,172,72,N
5'10,143,72,V
5'7,154,72,V
5'11,165,72,V
5'5,141,72,V
5'9,154,72,B
6'5,192,72,N
5'11,165,72,B
6'0,159,72,B
5'11,172,72,V
5'8,148,72,N
6'4,172,72,N
5'10,159,72,B
6'0,174,72,N
6'0,157,72,N
5'10,139,72,V
6'3,205,72,N
5'10,157,72,V
6'0,148,72,V
6'1,183,72,N
5'11,168,72,V
6'0,161,72,B
5'10,161,72,N
6'2,172,72,B
6'1,172,72,B
5'11,161,72,V
6'0,163,72,B
5'10,183,72,N
5'9,154,72,V
6'2,176,72,B
6'3,183,72,B
6'1,187,72,N
6'2,174,72,B
5'9,146,72,V
5'8,163,72,V
5'11,157,72,V
6'4,187,72,N
5'10,159,72,V
5'11,159,72,V
6'2,181,72,N
6'1,168,72,B
6'1,170,72,V
5'9,157,72,N
6'0,176,72,B
5'11,159,72,B
6'1,187,72,B
6'1,176,72,N
5'11,154,72,B
5'7,148,72,V
5'10,141,72,V
6'2,152,72,B
5'3,137,72,N
5'9,161,72,V
5'9,154,72,V
6'2,174,72,N
5'8,146,72,B
6'1,185,72,V
5'8,146,72,V
5'11,172,72,V
5'10,161,72,V
6'4,179,72,B
6'0,172,72,V
5'11,174,72,B
5'7,134,72,B
6'2,181,72,B
6'0,154,72,V
5'8,159,72,V
6'1,172,72,B
6'2,185,72,B
5'11,176,72,B
5'11,163,72,B
6'1,185,72,B
5'10,172,72,N
5'11,152,72,B
5'8,161,72,B
5'10,159,72,B
6'1,165,72,B
5'11,163,72,B
5'10,165,72,B
5'7,143,72,N
6'0,161,72,V
5'11,170,72,V
5'10,165,72,N
5'8,139,72,V
5'10,165,72,V
5'9,161,72,V
5'10,187,72,V
5'8,146,72,V
6'1,179,72,B
6'0,172,72,N
6'2,183,72,V
6'0,170,72,N
6'4,174,72,B
6'0,176,72,V
6'4,194,72,N
5'11,161,72,V
6'0,187,72,B
5'9,165,72,V
5'11,168,72,B
6'0,187,72,N
6'0,176,72,B
6'3,190,72,B
5'11,172,72,B
5'10,157,72,V
6'0,176,72,V
5'10,174,72,N
6'2,165,72,B
6'1,172,72,B
5'6,146,72,V
6'2,181,72,N
6'0,179,72,B
5'9,154,72,B
6'1,183,72,N
5'10,168,72,N
5'10,174,72,V
5'9,134,72,V
5'8,163,72,V
5'10,170,72,B
5'7,165,72,N
6'0,172,72,N
6'2,187,72,B
5'7,146,72,V
5'8,159,72,V
5'8,154,72,V
6'4,185,72,V
5'8,157,72,V
6'1,187,72,B
5'11,165,72,V
6'2,187,72,V
6'2,176,72,B
6'0,163,72,B
5'11,179,72,V
6'0,163,72,N
6'2,176,72,V
6'0,168,72,V
5'10,201,72,N
6'3,176,72,B
5'5,141,72,N
6'1,174,72,B
5'7,132,72,B
5'11,154,72,V
6'0,187,72,B
6'2,187,72,B
5'10,154,72,V
6'1,172,72,N
5'7,165,72,V
5'11,172,72,V
5'10,150,72,V
6'1,165,72,V
5'7,154,72,N
