Name,pozicija,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
Óscar Plano,V,70,70,70,72,71,71,71,72,71,71,71,72,66,66,66,72,57,54,54,54,57,53,44,44,44,53,74,74,46,68,58,72,78,68,65,73,79,79,78,68,64,80,61,85,67,72,58,34,71,70,66,69,31,30,26,8,14,16,8,13,74
De la Bella,B,62,62,62,65,64,64,64,65,66,66,66,67,69,69,69,67,72,72,72,72,72,73,72,72,72,73,75,45,76,75,42,67,72,38,70,74,62,63,66,75,56,59,66,67,68,68,70,77,58,59,49,66,64,76,80,16,10,8,12,6,74
R. Cohade,V,63,63,63,67,67,67,67,67,70,70,70,69,72,72,72,69,69,72,72,72,69,68,69,69,69,68,72,52,63,78,65,70,76,71,76,75,61,52,61,72,72,57,70,72,68,72,78,67,65,75,67,74,76,66,68,6,16,16,15,9,74
P. Morales,V,69,69,69,71,71,71,71,71,72,72,72,71,71,71,71,71,64,64,64,64,64,62,58,58,58,62,72,65,55,74,72,72,76,77,71,76,67,67,75,73,68,78,54,72,62,74,66,54,74,73,79,75,45,62,50,7,11,15,7,7,74
D. Arismendi,V,60,60,60,59,62,62,62,59,63,63,63,62,68,68,68,62,67,72,72,72,67,67,74,74,74,67,49,31,76,72,59,68,54,44,68,69,54,55,48,67,49,69,70,81,90,67,89,72,58,70,54,67,69,73,70,7,8,5,10,6,74
N. Stanciu,V,70,70,70,72,72,72,72,72,73,73,73,71,68,68,68,71,56,55,55,55,56,52,47,47,47,52,69,70,66,72,65,74,75,74,71,75,69,69,77,69,78,71,63,67,61,76,60,42,72,76,66,64,23,30,32,14,7,13,10,12,74
D. Ćaleta-Car,B,55,55,55,52,54,54,54,52,54,54,54,54,57,57,57,54,63,66,66,66,63,65,72,72,72,65,28,32,73,64,32,54,28,31,47,58,63,67,47,66,61,48,75,75,84,35,72,69,60,45,38,66,73,76,73,8,9,9,10,8,74
L. Fer,V,72,72,72,71,72,72,72,71,71,71,71,72,72,72,72,72,71,72,72,72,71,71,72,72,72,71,67,67,78,74,66,77,49,44,74,73,67,72,71,71,51,85,83,86,78,74,82,69,68,69,72,72,67,70,69,9,8,14,16,14,74
A. Williams,B,52,52,52,49,51,51,51,49,53,53,53,51,59,59,59,51,60,68,68,68,60,61,72,72,72,61,32,37,71,63,34,57,34,23,73,61,43,49,52,67,59,64,68,54,83,40,85,74,28,53,45,66,74,69,70,7,10,16,7,10,74
J. Bryan,B,68,68,68,70,69,69,69,70,68,68,68,70,68,68,68,70,73,70,70,70,73,73,71,71,71,73,67,61,68,67,45,71,67,60,63,68,83,85,82,72,85,70,92,86,74,67,64,72,68,63,61,64,68,74,73,13,14,14,9,14,74
Ricardo Costa,B,52,52,52,47,50,50,50,47,49,49,49,50,54,54,54,50,61,65,65,65,61,64,73,73,73,64,41,25,72,56,35,48,25,28,47,52,50,42,62,70,64,65,92,69,77,32,91,70,56,45,40,75,76,77,74,14,15,7,8,13,74
Ailton,B,67,67,67,70,69,69,69,70,68,68,68,70,67,67,67,70,73,70,70,70,73,73,71,71,71,73,70,48,64,67,58,75,71,64,55,74,86,84,78,72,67,76,74,79,67,71,85,72,66,58,46,70,70,73,71,9,9,8,15,8,74
G. Margreitter,B,44,44,44,41,43,43,43,41,44,44,44,45,52,52,52,45,60,65,65,65,60,63,73,73,73,63,35,16,76,60,14,39,37,20,55,49,43,55,39,69,55,48,72,55,84,18,75,75,26,49,23,60,72,77,74,13,14,7,15,9,74
Djavan,B,63,63,63,67,66,66,66,67,65,65,65,69,66,66,66,69,73,69,69,69,73,72,71,71,71,72,75,37,64,69,33,75,63,40,52,74,73,77,68,73,61,72,72,85,76,43,74,69,70,58,45,73,68,75,71,12,7,11,7,6,74
A. Chedjou,B,58,58,58,57,58,58,58,57,60,60,60,58,64,64,64,58,64,69,69,69,64,66,72,72,72,66,39,40,76,70,50,61,51,50,68,62,67,63,62,66,58,60,79,67,76,59,76,72,44,63,57,64,72,74,70,6,14,15,13,11,74
Luna,B,67,67,67,69,68,68,68,69,68,68,68,70,69,69,69,70,73,72,72,72,73,73,72,72,72,73,80,60,64,75,56,67,58,45,63,74,71,72,66,67,69,78,73,77,74,55,82,75,63,69,43,66,72,73,73,6,12,5,15,8,74
F. Ricca,B,55,55,55,58,56,56,56,58,56,56,56,61,60,60,60,61,72,69,69,69,72,72,71,71,71,72,73,45,69,69,24,52,32,40,56,69,70,69,55,75,67,40,48,75,65,34,81,76,43,42,38,65,71,74,76,13,13,8,6,8,74
F. Carrizo,V,68,68,68,72,71,71,71,72,72,72,72,73,69,69,69,73,62,60,60,60,62,59,53,53,53,59,66,62,52,75,62,74,69,70,73,74,88,88,83,68,81,73,74,73,63,65,55,58,68,70,69,71,58,31,27,8,6,7,9,7,74
A. Ragusa,N,70,70,70,74,72,72,72,74,72,72,72,73,66,66,66,73,60,57,57,57,60,57,52,52,52,57,68,66,59,75,70,77,63,51,60,77,87,88,82,69,74,68,66,72,65,69,57,36,70,64,58,71,55,40,26,15,10,10,13,8,74
A. Wan-Bissaka,B,60,60,60,66,64,64,64,66,64,64,64,67,63,63,63,67,72,68,68,68,72,73,71,71,71,73,64,44,60,66,43,73,47,45,52,67,86,87,83,65,71,51,60,70,67,46,63,71,62,60,56,61,78,76,82,9,8,6,8,8,74
J. Biabiany,N,70,70,70,74,72,72,72,74,71,71,71,73,63,63,63,73,57,50,50,50,57,53,44,44,44,53,72,66,53,69,68,77,67,47,54,76,95,93,86,67,80,70,64,74,65,57,58,24,72,63,63,65,27,30,30,11,5,9,6,5,74
B. Mensah,V,70,70,70,72,72,72,72,72,72,72,72,71,68,68,68,71,60,61,61,61,60,58,57,57,57,58,64,67,62,74,49,77,72,70,69,75,82,76,79,67,66,80,60,58,67,72,70,50,69,69,59,72,50,55,30,15,13,12,10,11,74
E. Bauthéac,V,68,68,68,72,71,71,71,72,71,71,71,72,68,68,68,72,63,60,60,60,63,60,53,53,53,60,73,67,53,71,62,75,73,72,66,75,77,77,79,73,85,72,53,79,52,63,62,42,69,71,69,70,57,44,41,7,10,16,11,14,74
Tiago Silva,V,67,67,67,73,72,72,72,73,73,73,73,73,73,73,73,73,66,65,65,65,66,64,56,56,56,64,78,65,49,76,53,74,74,72,77,75,74,70,77,78,74,74,60,69,39,75,66,60,67,76,70,68,44,58,53,11,13,12,12,13,74
A. Tameze,V,65,65,65,66,67,67,67,66,69,69,69,67,70,70,70,67,69,72,72,72,69,70,72,72,72,70,50,58,69,75,35,70,52,43,71,78,69,69,73,69,70,65,69,72,71,57,69,72,57,69,54,70,67,78,75,13,16,14,15,14,74
V. Manceau,B,59,59,59,64,62,62,62,64,65,65,65,67,70,70,70,67,73,74,74,74,73,72,73,73,73,72,75,40,69,75,42,72,48,44,74,74,62,45,67,75,79,58,82,80,65,41,72,76,54,64,58,69,76,75,75,16,10,10,11,16,74
L. Advíncula,B,70,70,70,73,71,71,71,73,71,71,71,74,69,69,69,74,73,69,69,69,73,72,68,68,68,72,75,58,62,73,59,76,77,63,67,74,95,94,80,69,76,76,72,80,74,68,70,63,68,60,64,60,66,70,67,11,12,13,15,11,74
Enaldo Toxeto,B,60,60,60,59,58,58,58,59,57,57,57,61,62,62,62,61,69,70,70,70,69,70,72,72,72,70,62,47,74,68,51,58,49,43,71,72,66,70,55,72,61,70,67,74,73,52,78,73,41,34,67,64,71,77,67,13,8,13,6,12,74
Camilo,N,72,72,72,72,72,72,72,72,70,70,70,71,65,65,65,71,56,51,51,51,56,53,47,47,47,53,70,73,68,65,76,77,73,79,60,75,77,78,81,70,77,79,76,72,65,70,55,29,70,66,73,72,21,38,33,14,6,12,6,10,74
Welthon,N,73,73,73,71,72,72,72,71,70,70,70,70,62,62,62,70,51,49,49,49,51,48,45,45,45,48,64,72,69,67,72,75,81,79,52,74,75,77,74,71,70,85,74,67,73,65,76,26,72,67,76,75,22,21,19,15,13,16,12,10,74
Moi Gómez,V,68,68,68,72,71,71,71,72,73,73,73,73,71,71,71,73,63,63,63,63,63,60,55,55,55,60,75,68,54,79,59,76,80,59,75,76,72,68,78,68,79,68,74,76,56,69,52,51,69,71,59,68,60,47,34,12,7,16,7,7,74
Marc Muniesa,B,57,57,57,60,60,60,60,60,62,62,62,63,66,66,66,63,70,71,71,71,70,70,73,73,73,70,67,42,72,73,32,63,66,40,56,73,42,59,62,70,66,46,83,70,67,37,78,81,61,61,50,73,60,79,77,14,12,16,15,10,74
Samu Saiz,V,66,66,66,73,71,71,71,73,73,73,73,73,68,68,68,73,52,50,50,50,52,47,38,38,38,47,71,66,40,70,62,79,79,68,71,79,78,67,79,67,86,67,70,72,55,71,52,19,68,77,75,69,22,30,14,9,9,14,15,15,74
J. Sorbon,B,47,47,47,46,46,46,46,46,49,49,49,49,56,56,56,49,62,68,68,68,62,64,72,72,72,64,60,25,73,66,25,30,40,34,56,64,32,37,46,71,69,43,63,50,72,30,75,76,42,52,39,67,75,77,72,13,15,8,6,13,73
S. Araujo,N,71,71,71,72,73,73,73,72,71,71,71,70,64,64,64,70,53,49,49,49,53,50,43,43,43,50,59,72,60,63,71,77,81,59,59,80,74,74,74,78,71,69,60,64,62,72,32,20,74,65,69,66,45,22,27,13,12,13,7,15,73
André Martins,V,66,66,66,73,72,72,72,73,73,73,73,73,71,71,71,73,66,64,64,64,66,64,56,56,56,64,66,62,51,75,60,76,75,73,72,77,81,77,91,75,90,65,63,72,34,61,55,63,70,74,67,78,61,52,47,16,10,8,9,15,73
S. March,V,67,67,67,73,71,71,71,73,71,71,71,72,66,66,66,72,61,58,58,58,61,58,51,51,51,58,75,66,40,70,54,79,70,64,64,74,78,82,78,64,77,74,35,68,61,71,55,30,67,72,55,68,63,50,42,9,11,7,13,15,73
F. Chafik,B,60,60,60,64,63,63,63,64,62,62,62,65,63,63,63,65,72,68,68,68,72,72,69,69,69,72,67,45,52,60,39,72,60,43,56,66,77,75,72,69,67,60,60,88,75,66,69,70,63,51,44,68,72,77,78,13,8,6,9,9,73
K. Ajer,B,61,61,61,61,62,62,62,61,63,63,63,64,66,66,66,64,68,70,70,70,68,68,71,71,71,68,55,48,74,68,41,71,58,52,66,73,62,68,50,55,58,64,52,82,88,53,75,68,52,63,49,75,70,74,72,9,9,14,7,10,73
K. Grosicki,V,71,71,71,72,72,72,72,72,72,72,72,71,67,67,67,71,56,54,54,54,56,53,47,47,47,53,70,68,69,68,72,70,69,71,71,74,86,77,80,70,70,74,52,61,66,75,43,48,72,73,68,68,36,29,20,16,10,15,14,11,73
Alex Bergantiños,V,55,55,55,56,58,58,58,56,60,60,60,59,66,66,66,59,66,72,72,72,66,66,71,71,71,66,49,36,61,70,46,58,59,50,67,65,51,43,63,72,69,60,78,81,75,51,72,77,54,68,58,65,75,75,67,12,10,11,9,13,73
E. Derdiyok,N,72,72,72,65,68,68,68,65,67,67,67,64,64,64,64,64,46,50,50,50,46,44,47,47,47,44,60,77,80,71,79,66,60,64,61,72,38,38,53,69,46,78,70,54,91,71,46,26,77,70,67,70,28,29,18,6,14,9,7,12,73
David Braz,B,55,55,55,51,52,52,52,51,52,52,52,52,56,56,56,52,61,66,66,66,61,64,71,71,71,64,43,39,76,66,40,50,48,41,57,54,55,53,52,66,44,63,52,53,79,49,74,74,46,41,50,71,75,74,71,15,7,7,16,12,73
Lombán,B,58,58,58,54,56,56,56,54,57,57,57,55,62,62,62,55,63,69,69,69,63,65,72,72,72,65,44,56,74,70,44,51,68,68,72,63,51,51,52,62,43,73,67,60,77,49,76,74,39,55,64,59,74,75,71,6,13,13,16,15,73
A. Acquah,V,68,68,68,71,71,71,71,71,71,71,71,71,71,71,71,71,73,73,73,73,73,72,73,73,73,72,64,59,60,74,50,76,54,54,68,70,78,76,78,74,79,72,79,79,78,65,80,74,72,70,60,67,66,77,76,11,5,10,6,7,73
T. Smith,B,56,56,56,64,61,61,61,64,63,63,63,67,66,66,66,67,71,70,70,70,71,71,70,70,70,71,74,38,66,70,20,65,59,41,62,70,74,69,60,74,63,29,62,76,69,22,71,69,67,68,41,63,69,74,71,15,14,14,14,9,73
R. Nuzzolo,N,72,72,72,73,72,72,72,73,72,72,72,72,68,68,68,72,60,57,57,57,60,58,51,51,51,58,75,76,58,74,75,72,71,75,69,75,75,72,71,63,69,76,75,75,69,75,48,43,77,66,64,61,23,48,46,9,12,8,15,10,73
G. Jung,B,53,53,53,55,54,54,54,55,57,57,57,57,62,62,62,57,66,70,70,70,66,67,72,72,72,67,49,40,71,68,39,59,38,50,68,67,63,59,62,68,56,49,53,63,76,39,70,75,29,57,54,63,74,76,73,7,15,12,11,11,73
D. Pérez,B,63,63,63,65,65,65,65,65,64,64,64,66,65,65,65,66,71,68,68,68,71,71,67,67,67,71,57,45,60,68,44,68,55,47,60,68,80,80,82,72,86,69,88,91,43,67,75,71,70,42,55,54,68,72,73,14,16,11,10,14,73
D. Braghieri,B,57,57,57,52,55,55,55,52,54,54,54,53,58,58,58,53,62,67,67,67,62,64,72,72,72,64,28,35,75,63,37,50,39,32,55,65,69,59,49,67,53,75,67,66,81,62,84,68,38,47,48,69,70,73,73,7,9,14,6,7,73
Carlos Ponck,B,56,56,56,54,55,55,55,54,54,54,54,56,57,57,57,56,65,66,66,66,65,66,72,72,72,66,44,35,71,59,33,59,41,45,54,61,63,67,59,67,55,70,89,77,77,46,84,68,45,45,49,65,73,74,72,13,12,9,11,10,73
R. Assalé,N,71,71,71,76,75,75,75,76,74,74,74,75,66,66,66,75,57,49,49,49,57,53,39,39,39,53,67,76,45,71,67,78,57,54,50,77,92,88,91,79,92,75,43,79,40,65,40,21,76,69,54,66,22,35,26,13,15,7,14,9,73
M. Miazga,B,47,47,47,47,47,47,47,47,49,49,49,50,55,55,55,50,62,67,67,67,62,64,72,72,72,64,25,16,74,67,28,53,27,21,54,66,62,58,57,68,41,35,79,68,82,32,81,70,27,32,31,69,66,73,74,10,7,14,7,15,73
Léo Bonatini,N,72,72,72,70,72,72,72,70,71,71,71,70,66,66,66,70,55,54,54,54,55,52,48,48,48,52,65,69,68,70,69,72,69,63,65,75,68,69,67,73,64,77,70,72,74,66,63,33,77,69,72,74,32,28,31,15,12,8,10,15,73
S. Hutchinson,B,47,47,47,48,47,47,47,48,49,49,49,51,55,55,55,51,63,66,66,66,63,65,72,72,72,65,47,22,72,53,18,54,49,35,59,58,54,61,56,68,54,54,82,74,86,23,79,72,23,53,25,58,72,72,72,8,10,12,13,16,73
S. Rybalka,V,59,59,59,64,63,63,63,64,67,67,67,65,71,71,71,65,68,71,71,71,68,66,65,65,65,66,62,56,42,78,51,70,77,80,77,72,55,57,58,70,71,75,57,66,59,74,68,74,35,77,63,62,71,68,67,9,11,7,14,10,73
N. Acevedo,V,65,65,65,65,66,66,66,65,68,68,68,67,71,71,71,67,71,73,73,73,71,71,73,73,73,71,49,49,72,75,43,68,51,53,71,73,67,68,67,76,61,62,84,92,78,65,72,70,65,64,45,74,69,75,73,6,9,16,6,15,73
J. Lucero,N,71,71,71,70,70,70,70,70,68,68,68,69,62,62,62,69,52,50,50,50,52,50,46,46,46,50,60,70,73,70,65,71,58,41,60,72,84,79,84,72,69,71,72,65,70,63,64,32,72,52,71,72,21,30,18,15,8,10,14,6,73
G. Chakvetadze,V,66,66,66,72,71,71,71,72,72,72,72,72,67,67,67,72,57,53,53,53,57,53,43,43,43,53,67,64,39,75,64,76,74,59,69,75,86,83,86,65,77,73,76,64,51,70,38,30,65,71,58,61,29,41,32,10,8,13,8,13,73
I. Fossum,V,67,67,67,69,69,69,69,69,70,70,70,70,71,71,71,70,69,68,68,68,69,67,64,64,64,67,60,59,59,72,57,72,72,65,69,73,74,67,75,71,75,70,71,92,64,71,63,67,70,70,42,67,59,65,62,6,6,7,15,13,73
V. Karavaev,B,65,65,65,67,67,67,67,67,67,67,67,69,69,69,69,69,72,70,70,70,72,72,68,68,68,72,72,52,62,71,50,68,64,63,69,69,76,77,71,69,73,73,74,85,59,67,69,70,66,64,55,72,70,73,71,14,13,12,9,10,73
T. Leibold,B,65,65,65,70,68,68,68,70,69,69,69,71,68,68,68,71,73,69,69,69,73,72,69,69,69,72,73,55,54,72,42,74,72,52,62,69,86,85,85,71,85,64,78,78,65,54,75,70,69,65,61,67,72,70,70,15,10,14,13,7,73
T. Huddlestone,V,68,68,68,64,67,67,67,64,68,68,68,64,71,71,71,64,64,71,71,71,64,64,71,71,71,64,72,60,72,76,78,61,70,73,82,79,34,48,33,72,44,89,50,34,87,73,75,70,63,75,72,82,71,70,66,10,7,11,9,11,73
K. Nakamura,V,68,68,68,70,70,70,70,70,71,71,71,70,73,73,73,70,67,68,68,68,67,65,64,64,64,65,76,70,71,76,68,72,85,85,77,75,51,51,72,73,75,74,70,67,58,76,65,71,64,77,80,80,55,62,60,14,13,9,14,9,73
L. Koné,B,55,55,55,53,53,53,53,53,52,52,52,56,56,56,56,56,65,66,66,66,65,66,72,72,72,66,60,34,73,60,29,52,39,28,50,62,49,64,51,70,48,55,65,68,89,29,75,72,54,45,31,64,70,74,69,6,12,15,10,13,73
M. Vejinović,V,66,66,66,67,67,67,67,67,69,69,69,67,71,71,71,67,65,67,67,67,65,63,64,64,64,63,81,57,70,81,71,64,82,82,79,74,41,60,69,66,63,81,75,55,68,76,53,66,64,74,76,74,62,63,52,7,15,9,14,16,73
M. Russ,B,51,51,51,43,47,47,47,43,48,48,48,45,55,55,55,45,55,65,65,65,55,59,72,72,72,59,30,42,80,67,33,39,29,28,65,44,32,32,32,71,42,67,53,39,83,44,77,70,34,51,50,73,74,75,73,16,6,13,6,11,73
Pietrson Mendes,V,68,68,68,72,71,71,71,72,71,71,71,72,67,67,67,72,62,57,57,57,62,59,50,50,50,59,76,66,56,76,72,72,77,76,63,75,80,84,81,67,79,74,52,67,50,68,45,47,68,68,68,76,28,51,44,11,13,13,9,7,73
Salvi Sánchez,V,64,64,64,70,69,69,69,70,70,70,70,71,66,66,66,71,59,55,55,55,59,56,45,45,45,56,70,64,43,72,54,69,65,65,69,67,89,88,72,63,84,62,61,75,44,59,50,38,69,75,63,57,35,39,41,10,12,7,9,6,73
E. Pavez,V,71,71,71,70,71,71,71,70,71,71,71,71,71,71,71,71,70,71,71,71,70,71,71,71,71,71,58,66,73,73,56,71,55,31,71,72,76,78,79,70,64,75,82,87,80,70,77,68,69,71,39,72,67,69,70,10,8,10,14,8,73
I. Kovács,V,63,63,63,70,70,70,70,70,71,71,71,69,64,64,64,69,52,50,50,50,52,49,39,39,39,49,56,68,29,73,52,72,49,49,65,72,84,77,83,73,82,63,52,48,42,65,43,29,65,74,56,73,41,22,30,10,7,14,8,11,73
Nildo Petrolina,N,70,70,70,73,72,72,72,73,72,72,72,73,71,71,71,73,68,64,64,64,68,66,59,59,59,66,72,64,71,71,61,76,71,69,68,74,83,80,81,72,73,78,76,85,39,74,65,64,71,69,62,73,45,60,52,15,15,13,15,12,73
Y. Seleznyov,N,72,72,72,66,68,68,68,66,65,65,65,65,62,62,62,65,55,55,55,55,55,53,55,55,55,53,63,74,82,66,64,67,56,46,51,68,63,47,61,70,49,79,67,79,81,74,79,27,77,56,80,72,51,41,39,9,9,7,16,16,73
C. Löwe,B,64,64,64,67,66,66,66,67,67,67,67,68,68,68,68,68,71,70,70,70,71,71,68,68,68,71,71,53,58,70,52,68,71,65,67,70,75,69,73,73,76,72,76,77,60,64,67,73,62,65,74,70,72,71,72,14,12,8,8,12,73
V. Cantillo,V,57,57,57,61,62,62,62,61,66,66,66,64,69,69,69,64,66,71,71,71,66,65,68,68,68,65,33,34,58,76,28,74,38,37,73,77,64,68,69,67,65,47,73,79,75,40,70,69,55,68,36,65,70,68,64,10,11,9,7,9,73
S. Skrzybski,N,70,70,70,72,72,72,72,72,70,70,70,71,64,64,64,71,56,51,51,51,56,52,45,45,45,52,67,73,58,69,68,75,71,59,55,72,85,84,83,70,82,73,79,78,55,72,58,35,69,64,68,63,32,28,21,11,15,10,9,11,73
Diego Oliveira,N,72,72,72,69,71,71,71,69,69,69,69,69,65,65,65,69,56,55,55,55,56,53,50,50,50,53,60,74,72,68,62,71,58,60,59,73,71,74,59,70,68,73,65,76,81,65,48,53,73,66,72,70,36,26,23,14,8,13,10,7,73
A. Ba,B,47,47,47,42,44,44,44,42,44,44,44,44,50,50,50,44,60,64,64,64,60,63,72,72,72,63,35,22,79,58,30,35,36,59,41,53,49,53,34,66,30,58,75,66,80,50,80,75,25,40,68,64,72,74,68,11,12,12,15,15,73
S. von Bergen,B,48,48,48,46,46,46,46,46,49,49,49,50,56,56,56,50,64,68,68,68,64,66,72,72,72,66,49,22,72,66,38,35,42,18,63,58,60,49,62,69,70,57,81,73,77,32,77,74,31,45,46,76,74,74,68,7,12,10,9,13,73
Y. Öztekin,V,69,69,69,72,71,71,71,72,71,71,71,71,66,66,66,71,60,58,58,58,60,58,54,54,54,58,67,69,57,68,61,76,71,62,66,73,79,79,79,73,79,72,77,67,61,71,69,37,71,67,63,65,56,40,42,10,16,7,11,13,73
G. Silva,B,59,59,59,62,60,60,60,62,61,61,61,64,64,64,64,64,71,70,70,70,71,71,72,72,72,71,73,37,71,68,33,66,66,71,66,71,69,66,68,66,58,67,62,72,80,48,64,73,51,54,57,71,71,75,77,7,7,13,12,10,73
W. Hoolahan,V,64,64,64,69,69,69,69,69,72,72,72,69,69,69,69,69,56,57,57,57,56,53,47,47,47,53,72,63,43,76,62,74,73,67,72,80,60,52,70,66,88,70,33,52,53,67,39,35,64,80,77,73,42,51,36,13,7,16,11,16,73
J. Gómez,V,66,66,66,72,70,70,70,72,72,72,72,71,68,68,68,71,57,57,57,57,57,54,47,47,47,54,69,69,43,72,64,75,69,56,73,73,73,72,84,66,79,62,47,68,61,70,68,42,71,74,77,63,34,35,37,12,14,10,10,7,73
Rodrigo Galo,B,63,63,63,68,66,66,66,68,66,66,66,69,67,67,67,69,72,69,69,69,72,71,68,68,68,71,77,36,58,68,49,73,69,64,65,75,78,79,72,66,74,75,68,78,65,62,64,69,68,60,57,63,68,72,72,14,6,16,11,11,73
R. Fredericks,B,63,63,63,69,66,66,66,69,66,66,66,70,65,65,65,70,72,67,67,67,72,71,66,66,66,71,71,47,52,69,51,74,64,42,60,69,92,94,77,68,76,58,62,77,65,46,73,64,66,58,61,61,69,69,71,16,7,8,15,9,73
M. Ishak,N,72,72,72,68,69,69,69,68,67,67,67,66,61,61,61,66,54,52,52,52,54,53,52,52,52,53,57,74,72,70,65,69,38,31,43,71,66,66,65,66,64,76,81,68,84,67,66,30,76,59,63,56,24,43,46,12,11,15,15,9,73
N. Gießelmann,B,63,63,63,65,63,63,63,65,64,64,64,67,65,65,65,67,71,69,69,69,71,71,70,70,70,71,73,45,66,68,59,64,66,70,65,71,77,77,68,69,68,68,82,79,74,57,72,66,58,58,55,69,69,72,73,10,13,10,14,7,73
Luis Couprins,V,64,64,64,62,64,64,64,62,65,65,65,63,68,68,68,63,67,71,71,71,67,68,70,70,70,68,43,57,71,77,63,58,63,54,75,60,76,74,81,64,80,80,58,75,59,73,79,77,54,65,62,61,79,71,63,11,13,16,8,10,73
F. Kudryashov,B,57,57,57,62,59,59,59,62,61,61,61,63,64,64,64,63,71,70,70,70,71,72,71,71,71,72,71,41,63,68,51,61,47,41,60,69,71,73,74,74,64,43,70,72,73,56,71,74,45,58,46,69,72,74,75,16,11,11,12,8,73
D. Brooks,V,65,65,65,72,70,70,70,72,72,72,72,72,67,67,67,72,56,52,52,52,56,51,41,41,41,51,66,68,40,74,50,77,61,48,64,75,73,76,85,72,79,60,59,70,45,55,44,34,68,74,58,76,28,31,28,8,14,9,13,7,73
M. Hawsawi,B,55,55,55,51,51,51,51,51,50,50,50,51,53,53,53,51,63,64,64,64,63,66,72,72,72,66,37,43,78,55,34,46,38,33,42,60,70,64,63,71,50,56,89,74,79,47,71,74,33,38,43,61,71,71,73,12,14,8,8,12,73
J. St. Juste,B,66,66,66,68,67,67,67,68,67,67,67,69,67,67,67,69,72,70,70,70,72,72,72,72,72,72,64,59,68,70,48,73,33,37,68,72,83,82,78,68,64,66,86,75,72,47,75,73,64,56,59,68,70,74,73,12,14,9,13,11,73
João Aurélio,B,67,67,67,70,69,69,69,70,70,70,70,71,72,72,72,71,72,72,72,72,72,72,71,71,71,72,76,54,68,75,60,73,70,58,75,75,69,68,67,71,63,73,73,81,72,67,74,67,69,69,58,72,69,74,73,10,15,8,9,13,73
R. Benzar,B,60,60,60,64,62,62,62,64,63,63,63,66,65,65,65,66,71,68,68,68,71,71,68,68,68,71,72,47,61,68,49,57,56,58,63,64,75,76,74,72,62,57,56,83,70,54,62,68,61,66,55,67,67,74,73,9,10,6,6,7,73
R. Philippoteaux,V,68,68,68,72,71,71,71,72,71,71,71,71,68,68,68,71,62,59,59,59,62,59,49,49,49,59,64,71,43,69,64,74,58,49,63,73,80,80,80,68,88,68,39,75,61,66,42,70,76,69,48,66,38,34,39,9,10,12,11,13,73
Gerson,V,64,64,64,71,70,70,70,71,72,72,72,72,71,71,71,72,66,67,67,67,66,63,61,61,61,63,64,58,44,81,54,75,73,53,71,84,69,69,75,70,78,55,62,65,65,48,68,50,67,73,55,68,67,60,56,14,13,13,9,9,73
B. Assombalonga,N,71,71,71,68,69,69,69,68,66,66,66,66,60,60,60,66,55,52,52,52,55,53,51,51,51,53,59,73,77,60,62,67,68,46,46,69,78,79,68,70,71,73,73,73,75,65,64,44,72,59,62,68,27,34,32,8,10,6,11,7,73
M. Urruti,V,71,71,71,68,71,71,71,68,69,69,69,67,66,66,66,67,60,61,61,61,60,59,58,58,58,59,36,73,63,68,74,71,67,52,49,72,77,76,76,72,77,80,68,84,63,74,80,55,73,64,66,70,34,59,49,12,10,16,8,7,73
D. Ciofani,N,71,71,71,59,65,65,65,59,59,59,59,56,51,51,51,56,41,42,42,42,41,40,44,44,44,40,26,75,78,57,61,53,29,48,23,68,55,69,34,74,39,76,89,56,83,70,66,29,79,42,65,74,22,14,12,11,9,7,13,15,73
Etxeita,B,50,50,50,47,47,47,47,47,48,48,48,49,55,55,55,49,62,67,67,67,62,64,72,72,72,64,36,29,70,63,38,47,35,43,54,64,37,53,67,76,52,54,79,70,82,34,81,75,28,30,30,68,67,71,73,6,7,8,10,7,73
L. Ayling,B,61,61,61,64,63,63,63,64,63,63,63,66,65,65,65,66,71,69,69,69,71,71,70,70,70,71,67,43,66,63,32,68,41,36,61,66,71,74,72,71,71,63,76,87,75,55,66,73,64,59,38,71,71,74,71,9,11,11,9,8,73
S. Thioub,V,69,69,69,72,70,70,70,72,70,70,70,71,63,63,63,71,53,48,48,48,53,49,40,40,40,49,70,73,52,68,68,78,69,61,61,72,88,85,76,62,80,70,54,72,71,74,30,21,63,65,67,67,42,21,16,8,12,7,16,13,73
D. Bronn,B,61,61,61,62,61,61,61,62,62,62,62,64,65,65,65,64,69,70,70,70,69,70,72,72,72,70,67,58,72,69,38,65,63,53,72,67,67,67,61,71,63,69,70,73,77,58,73,70,36,61,37,68,74,72,73,6,10,9,7,9,73
Diego Farías,N,67,67,67,74,73,73,73,74,73,73,73,73,65,65,65,73,55,50,50,50,55,52,42,42,42,52,66,65,55,72,60,78,63,65,55,77,87,85,88,73,89,60,71,66,34,68,40,25,72,72,69,72,55,27,12,6,7,6,5,14,73
